Total Heat Release,Burning Temperature,Ignition Temperature,Heat Release Capacity,Fire Growth Capacity,FR_labels
24722.818516718755,482.246,350.805,25955.104346173863,134.02164873292824,2
14879.480392072044,537.858,438.643,15591.94345553608,120.95921886225143,2
16584.116500920427,515.457,366.537,17369.365738052777,77.54898794216196,1
20246.452607247735,482.774,396.996,21344.250614407174,191.8051097107507,0
26622.142066990506,472.215,388.929,28036.75219285255,260.11853203505734,0
12581.675638779274,488.529,292.177,13257.70746605906,36.93391234722166,1
27364.231612707335,468.963,377.87,28900.669510150234,238.76255224641207,0
14539.335518696716,469.506,384.928,15291.533324617172,139.19548646792865,1
15665.463661823545,437.267,334.539,16466.951533555293,114.49623944500611,1
13535.355053673182,461.318,343.769,14282.096094770846,84.12472620003635,1
14178.259539116108,467.231,343.069,14861.491274298549,82.1308623769236,1
13733.81891880276,464.27,347.173,14419.834441317875,86.0207342585568,1
18800.52385009097,505.251,345.554,19789.74813197708,78.57893083650983,2
10108.881612678155,474.26,377.459,10680.319709279824,81.928333047587,1
22676.186701299215,472.709,362.218,23860.436296918324,154.58168727774813,0
13508.735381306837,521.542,448.094,14252.925333908988,156.71681524729001,1
23939.831693467648,487.407,383.85,25177.32915769768,179.4031990155436,0
19294.516971451812,486.116,386.766,20306.03907466449,152.36443144141145,0
17128.294361050088,499.631,392.544,17999.643611713855,123.85986520490584,1
16829.48049609537,478.397,347.196,17809.800894496253,91.15386065433358,1
9445.812630075974,454.495,392.153,9730.29329950879,129.52319970578253,1
11476.936167527638,445.633,387.507,12037.707491314244,170.1643520436156,1
22108.36677375445,546.075,423.09,23650.297728557533,137.33636438983072,0
15417.243256607131,507.836,414.242,16541.155058234028,132.79409647699194,0
13964.145848156684,496.518,413.977,14973.574878110163,139.56299992655232,0
14476.838576148879,507.52,413.363,15519.540348578217,123.74955537465951,0
14478.49080739968,494.518,405.179,15403.03588733424,131.22545437579046,0
13639.1719270906,505.809,414.222,14572.183909273374,120.55326075680935,0
17033.998776577595,556.337,471.337,18235.144746988197,168.34123800108063,0
12297.810334710466,502.143,444.366,13202.15816930807,187.0757363361885,1
13716.011921596886,523.783,412.512,14708.681096107819,95.7677701721396,0
13502.303067363362,523.608,410.299,14460.856984978365,92.08355651136353,1
13943.630834532858,527.438,413.512,14889.8016340891,94.64005542376056,0
16571.160296793427,529.889,412.938,17628.6082094574,108.8717972703452,1
14221.58191025324,513.213,406.528,15235.450943801905,104.17454730255342,1
5167.263519443173,434.635,353.822,5424.103378803263,51.326682076424184,1
22097.57358917974,546.599,423.916,23495.697776980887,137.75421841965118,0
17043.63611636223,487.803,460.072,17983.76506375961,577.778918049835,1
16193.419580479343,485.731,457.009,17002.497795477157,528.6512348859691,0
18308.44115716871,685.511,547.126,19223.328709428737,104.58216205942918,1
21107.86754184178,565.899,552.126,22137.754375848654,1493.530417974678,0
